Название канала,URL,Подписчики,TGStat
"Hi, AI • Новости технологий Главный канал об искусственном интеллекте и нейросетях.",https://t.me/hiaimedia,2143814,https://tgstat.ru/channel/@hiaimedia
Machinelearning Погружаемся в машинное обучение и Data Science,https://t.me/ai_machinelearning_big_data,335104,https://tgstat.ru/channel/@ai_machinelearning_big_data
"Нейродвиж Культовый канал про нейросети, технологии и IT.",https://t.me/neuraldvig,332858,https://tgstat.ru/channel/@neuraldvig
AI News | Нейросети Техподдержка @IMC_tech,https://t.me/gpt_news,325058,https://tgstat.ru/channel/@gpt_news
Neural Pony Discover the latest advancements in artificial intelligence and deep learning through our Telegram channel dedicated to all things neural networks.,https://t.me/neuralpony,222535,https://tgstat.ru/channel/@neuralpony
"ТЕХНО: Яндекс про технологии Канал о том, как устроен мир технологий. Разберёмся в потоке технологических новостей о нейросетях, роботах, голосовых помощниках, умном доме и не только. Чат канала https://t.me/+488-8LyZuSM1NWRi.",https://t.me/techno_yandex,214369,https://tgstat.ru/channel/@techno_yandex
"эйай ньюз Культурно освещаю самые и не самые важные новости из мира AI, и облагораживаю их своим авторитетным профессиональным мнением.",https://t.me/ai_newz,89974,https://tgstat.ru/channel/@ai_newz
"Джарвис Ньюс | Нейросети Джарвис, твой новостной ассистент в мире нейросетей. Лучший контент — здесь!",https://t.me/JarvisNew,88552,https://tgstat.ru/channel/@JarvisNew
Data Secrets Главный по машинному обучению,https://t.me/data_secrets,88216,https://tgstat.ru/channel/@data_secrets
"Сиолошная Канал SeeAll'а с новостями (и мыслями о них) из мира NLP, VR и космоса.",https://t.me/seeallochnaya,71884,https://tgstat.ru/channel/@seeallochnaya
Neural Shit Проклятые нейронные сети,https://t.me/NeuralShit,50795,https://tgstat.ru/channel/@NeuralShit
"Лента ИИ-технологий | StudGPT News Будь на острие технологий c Deepseek, Nano Bana, GPT-5.2",https://t.me/studgpt,37752,https://tgstat.ru/channel/@studgpt
Stable Diffusion News | Нейросети Наш бот — @StableDiffusion_robot,https://t.me/StableDiffusionBest,35689,https://tgstat.ru/channel/@StableDiffusionBest
